               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,           0.0085152,           0.0039656,          0.00013696,             0.99909,                   1,               0.995,             0.94831,           0.0067331,           0.0030159,          0.00010675,            0.001189,            0.001189,            0.001189
                  91,           0.0084425,           0.0039184,          0.00013026,             0.99948,                   1,               0.995,             0.94776,            0.006715,           0.0030073,          9.9099e-05,             0.00109,             0.00109,             0.00109
                  92,           0.0085326,           0.0040802,           0.0001301,             0.99791,                   1,               0.995,             0.94986,           0.0066716,           0.0030145,          9.2894e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0082973,           0.0039749,          0.00012013,             0.99961,                   1,               0.995,             0.94877,           0.0066712,           0.0029723,          9.1418e-05,            0.000892,            0.000892,            0.000892
                  94,           0.0084983,            0.003949,          0.00011564,             0.99965,                   1,               0.995,             0.95158,           0.0066427,           0.0029657,          8.7474e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0082768,           0.0038715,          0.00010859,             0.99958,                   1,               0.995,             0.95264,           0.0065906,           0.0029509,          8.1645e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0081469,           0.0038351,          0.00011153,             0.99883,                   1,               0.995,             0.95266,           0.0065666,           0.0029593,           8.163e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0081542,            0.003941,           0.0001079,             0.99957,                   1,               0.995,              0.9504,           0.0065797,           0.0029419,          7.9954e-05,            0.000496,            0.000496,            0.000496
                  98,           0.0081829,           0.0039156,          0.00010343,             0.99935,                   1,               0.995,              0.9521,           0.0065633,           0.0029631,          7.5472e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0082135,           0.0038701,          0.00010309,             0.99912,                   1,               0.995,             0.95337,           0.0064857,           0.0029295,          7.2437e-05,            0.000298,            0.000298,            0.000298
